trial_loop_training.thisRepN,trial_loop_training.thisTrialN,trial_loop_training.thisN,trial_loop_training.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,condition_response.keys,condition_response.rt,condition_response.duration,trial_randomization_training.started,trial_randomization_training.stopped,fixation_period_training.started,time_fixation_training,fixation_cross_training.started,fixation_cross_training.stopped,fixation_period_training.stopped,trial_training.started,continue_signal_time,trial_type,corr_resp,go_rectangle_training.started,key_resp_training.started,stop_signal_triangle_training.started,go_rectangle_training.stopped,stop_signal_triangle_training.stopped,trial_training.stopped,key_resp_training.keys,key_resp_training.corr,blank_training.started,no_shape_2.started,no_shape_2.stopped,blank_training.stopped,feedback_accuracy_training.started,total_score_training,feedback_text_training.started,feedback_text_training.stopped,feedback_accuracy_training.stopped,ssd_training,key_resp_training.rt,key_resp_training.duration,time_fixation,fixation_cross.started,fixation_cross.stopped,trial.started,go_rectangle.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,total_score,stop_signal_triangle.started,go_rectangle.stopped,key_resp.rt,key_resp.duration,stop_signal_time,stop_signal_triangle.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,space,1.6176710999570787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,juliette_task_tmsi,001,2024-02-26_18h26.03.085,modified_stop_signal_task_lsl,2023.2.3,59.9828928813638,2024-02-26 18h27.24.865587 +0100,
0,0,0,0,,,,,,,,,4.911427100014407,,,,,4.895952099992428,4.896346900030039,4.896945099986624,0.5474681931115077,4.911427100014407,5.461652900034096,5.445167099998798,5.445200800022576,0.2,go_continue_trial,space,5.461652900034096,5.461652900034096,5.644777100009378,5.6613754000281915,6.144590399984736,6.129041899985168,None,0,6.129666300024837,6.144590399984736,7.14461570000276,7.128725000016857,7.1287401000154205,-1,7.14461570000276,8.144248900003731,8.128272200003266,,,,,,,,,,,,,,,,,,,,juliette_task_tmsi,001,2024-02-26_18h26.03.085,modified_stop_signal_task_lsl,2023.2.3,59.9828928813638,2024-02-26 18h27.24.865587 +0100,
1,0,1,0,,,,,,,,,8.144248900003731,,,,,,,8.128644399985205,0.6824753392445413,8.144248900003731,8.827489899995271,8.81130739999935,8.811330099997576,,stop_trial,None,8.827489899995271,8.827489899995271,9.011117200017907,9.027620900014881,,9.11190620000707,space,0,9.11244950001128,9.127888799994253,10.12746019999031,10.111631100007799,10.111659899994265,-4,10.12746019999031,11.127255400002468,11.111486200010404,0.2,0.26770659995963797,None,,,,,,,,,,,,,,,,,juliette_task_tmsi,001,2024-02-26_18h26.03.085,modified_stop_signal_task_lsl,2023.2.3,59.9828928813638,2024-02-26 18h27.24.865587 +0100,
2,0,2,0,,,,,,,,,11.127255400002468,,,,,,,11.111833700037096,1.2676240686124927,11.127255400002468,12.41053059999831,12.39430759998504,12.394327400019392,,go_fast_trial,space,12.41053059999831,12.41053059999831,,,,12.661566000024322,space,1,12.662055400025565,12.67706780001754,13.67663800000446,13.661350100010168,13.661361900041811,-3,13.67663800000446,14.676787600037642,14.660851900000125,,0.24845419998746365,None,,,,,,,,,,,,,,,,,juliette_task_tmsi,001,2024-02-26_18h26.03.085,modified_stop_signal_task_lsl,2023.2.3,59.9828928813638,2024-02-26 18h27.24.865587 +0100,
3,0,3,0,,,,,,,,,14.676787600037642,,,,,,,14.661162300035357,0.9914391292657956,14.676787600037642,15.676670200016815,15.660667999996804,15.660688400035724,,go_trial,space,15.676670200016815,15.676670200016815,,,,15.96089640003629,space,1,15.961331000027712,15.976470499997959,16.976440700003877,16.960297900019214,16.960314900032245,-2,16.976440700003877,17.976156699995045,17.96059229999082,,0.27292259997921064,None,,,,,,,,,,,,,,,,,juliette_task_tmsi,001,2024-02-26_18h26.03.085,modified_stop_signal_task_lsl,2023.2.3,59.9828928813638,2024-02-26 18h27.24.865587 +0100,
4,0,4,0,,,,,,,,,17.976156699995045,,,,,,,17.960887200024445,0.7402118437219559,17.976156699995045,18.726136000012048,18.710224999987986,18.710247999988496,,go_fast_trial,space,18.726136000012048,18.726136000012048,,,,19.077102900017053,space,1,19.077549200039357,19.092849500011653,20.092672400001902,20.076393800030928,20.07640530000208,-1,20.092672400001902,21.092452200013213,21.076276500010863,,0.34794680000049993,None,,,,,,,,,,,,,,,,,juliette_task_tmsi,001,2024-02-26_18h26.03.085,modified_stop_signal_task_lsl,2023.2.3,59.9828928813638,2024-02-26 18h27.24.865587 +0100,
5,0,5,0,,,,,,,,,21.092452200013213,,,,,,,21.07660269999178,1.2383418233018122,21.092452200013213,22.342803600011393,22.32634390000021,22.326359800004866,,go_trial,space,22.342803600011393,22.342803600011393,,,,22.577435499988496,space,1,22.577943600015715,22.59221090003848,23.592039500013925,23.57591080002021,23.575923399999738,0,23.592039500013925,24.591837199986912,24.57596940000076,,0.22803599998587742,None,,,,,,,,,,,,,,,,,juliette_task_tmsi,001,2024-02-26_18h26.03.085,modified_stop_signal_task_lsl,2023.2.3,59.9828928813638,2024-02-26 18h27.24.865587 +0100,
6,0,6,0,,,,,,,,,24.591837199986912,,,,,,,24.576578100037295,0.5092083004530756,24.591837199986912,25.10859270003857,25.09242220001761,25.092438400024548,,go_trial,space,25.10859270003857,25.10859270003857,,,,25.46002669999143,space,1,25.460484400042333,25.475290600035805,26.47562400001334,26.459033199993428,26.459045400028117,1,26.47562400001334,27.47482400003355,27.45867660001386,,0.3372995000099763,None,,,,,,,,,,,,,,,,,juliette_task_tmsi,001,2024-02-26_18h26.03.085,modified_stop_signal_task_lsl,2023.2.3,59.9828928813638,2024-02-26 18h27.24.865587 +0100,
7,0,7,0,,,,,,,,,27.47482400003355,,,,,,,27.45900510001229,0.5708426299228468,27.47482400003355,28.058399700035807,28.042007600015495,28.04202340001939,,go_fast_trial,space,28.058399700035807,28.058399700035807,,,,28.34270869998727,space,1,28.343141700024717,28.35812440002337,29.357896400033496,29.341885500005446,29.34189740003785,2,29.357896400033496,30.357743600034155,30.341690700035542,,0.274329999985639,None,,,,,,,,,,,,,,,,,juliette_task_tmsi,001,2024-02-26_18h26.03.085,modified_stop_signal_task_lsl,2023.2.3,59.9828928813638,2024-02-26 18h27.24.865587 +0100,
8,0,8,0,,,,,,,,,30.357743600034155,,,,,,,30.34205750003457,1.371225216252792,30.357743600034155,31.740889700013213,31.724843800009694,31.724861500028055,,stop_trial,None,31.740889700013213,31.740889700013213,31.874290100007784,31.89106630004244,32.37427979998756,32.3587467999896,None,1,32.35902219999116,32.37427979998756,33.37408630002756,33.35810890002176,33.35812140000053,5,33.37408630002756,34.37381010001991,34.357787500019185,0.15000000000000002,,,,,,,,,,,,,,,,,,,juliette_task_tmsi,001,2024-02-26_18h26.03.085,modified_stop_signal_task_lsl,2023.2.3,59.9828928813638,2024-02-26 18h27.24.865587 +0100,
